Week Ending Date,State,State Abbreviation,Median Number,Lower Bound,Upper Bound,Outcome,MMWR Year,MMWR Week,Rolling 4-Week Mean,Rolling 4-Week Lower,Rolling 4-Week Upper,AnalysisDate
08/20/2016,Alabama,AL,13.53,,18.91,Drug Overdose,2016,33,13.37,,18.69,2022-02-04
08/27/2016,Alabama,AL,16.98,12.35,23.36,Drug Overdose,2016,34,14.16,10.17,19.71,2022-02-04
09/03/2016,Alabama,AL,15.57,11.25,21.55,Drug Overdose,2016,35,14.65,10.55,20.34,2022-02-04
09/10/2016,Alabama,AL,15.81,11.44,21.86,Drug Overdose,2016,36,15.47,11.18,21.42,2022-02-04
09/17/2016,Alabama,AL,11.68,,16.48,Drug Overdose,2016,37,15.01,10.83,20.81,2022-02-04
09/24/2016,Alabama,AL,13.28,,18.58,Drug Overdose,2016,38,14.09,10.12,19.62,2022-02-04
10/01/2016,Alabama,AL,15.44,11.15,21.38,Drug Overdose,2016,39,14.05,10.09,19.57,2022-02-04
10/08/2016,Alabama,AL,13.04,,18.26,Drug Overdose,2016,40,13.36,,18.67,2022-02-04
10/15/2016,Alabama,AL,14.22,10.21,19.80,Drug Overdose,2016,41,13.99,10.04,19.51,2022-02-04
10/22/2016,Alabama,AL,11.19,,15.83,Drug Overdose,2016,42,13.47,,18.82,2022-02-04
10/29/2016,Alabama,AL,10.96,,15.51,Drug Overdose,2016,43,12.35,,17.35,2022-02-04
11/05/2016,Alabama,AL,12.19,,17.15,Drug Overdose,2016,44,12.14,,17.07,2022-02-04
11/12/2016,Alabama,AL,15.98,11.57,22.08,Drug Overdose,2016,45,12.58,,17.64,2022-02-04
11/19/2016,Alabama,AL,15.70,11.35,21.72,Drug Overdose,2016,46,13.71,,19.11,2022-02-04
11/26/2016,Alabama,AL,13.60,,18.99,Drug Overdose,2016,47,14.37,10.33,19.98,2022-02-04
12/03/2016,Alabama,AL,14.40,10.35,20.04,Drug Overdose,2016,48,14.92,10.75,20.71,2022-02-04
12/10/2016,Alabama,AL,17.86,13.03,24.47,Drug Overdose,2016,49,15.39,11.12,21.30,2022-02-04
12/17/2016,Alabama,AL,16.95,12.33,23.33,Drug Overdose,2016,50,15.70,11.36,21.71,2022-02-04
12/24/2016,Alabama,AL,13.74,,19.18,Drug Overdose,2016,51,15.74,11.39,21.76,2022-02-04
12/31/2016,Alabama,AL,13.43,,18.77,Drug Overdose,2016,52,15.50,11.20,21.44,2022-02-04
01/07/2017,Alabama,AL,16.34,11.85,22.54,Drug Overdose,2017,1,15.12,10.91,20.95,2022-02-04
01/14/2017,Alabama,AL,12.28,,17.26,Drug Overdose,2017,2,13.95,10.01,19.44,2022-02-04
01/21/2017,Alabama,AL,19.69,14.48,26.80,Drug Overdose,2017,3,15.44,11.17,21.34,2022-02-04
01/28/2017,Alabama,AL,17.21,12.52,23.65,Drug Overdose,2017,4,16.38,11.90,22.56,2022-02-04
02/04/2017,Alabama,AL,20.14,14.83,27.35,Drug Overdose,2017,5,17.33,12.64,23.76,2022-02-04
02/11/2017,Alabama,AL,15.86,11.47,21.92,Drug Overdose,2017,6,18.22,13.33,24.93,2022-02-04
02/18/2017,Alabama,AL,14.39,10.34,20.02,Drug Overdose,2017,7,16.90,12.29,23.23,2022-02-04
02/25/2017,Alabama,AL,13.75,,19.19,Drug Overdose,2017,8,16.03,11.62,22.12,2022-02-04
04/23/2016,Alaska,AK,,,,Drug Overdose,2016,16,,,,2022-02-04
03/04/2017,Alabama,AL,16.16,11.71,22.30,Drug Overdose,2017,9,15.04,10.84,20.86,2022-02-04
03/11/2017,Alabama,AL,19.07,13.98,26.01,Drug Overdose,2017,10,15.84,11.47,21.88,2022-02-04
03/18/2017,Alabama,AL,17.60,12.83,24.15,Drug Overdose,2017,11,16.65,12.09,22.91,2022-02-04
03/25/2017,Alabama,AL,15.14,10.92,21.00,Drug Overdose,2017,12,16.99,12.36,23.36,2022-02-04
04/01/2017,Alabama,AL,17.28,12.58,23.74,Drug Overdose,2017,13,17.27,12.58,23.72,2022-02-04
04/08/2017,Alabama,AL,15.24,11.00,21.13,Drug Overdose,2017,14,16.32,11.83,22.50,2022-02-04
04/15/2017,Alabama,AL,16.47,11.95,22.70,Drug Overdose,2017,15,16.03,11.61,22.14,2022-02-04
04/22/2017,Alabama,AL,14.54,10.46,20.22,Drug Overdose,2017,16,15.88,11.50,21.95,2022-02-04
04/29/2017,Alabama,AL,14.30,10.27,19.91,Drug Overdose,2017,17,15.14,10.92,20.99,2022-02-04
05/06/2017,Alabama,AL,15.35,11.08,21.26,Drug Overdose,2017,18,15.17,10.94,21.02,2022-02-04
05/13/2017,Alabama,AL,13.62,,19.02,Drug Overdose,2017,19,14.45,10.39,20.10,2022-02-04
05/20/2017,Alabama,AL,16.32,11.83,22.51,Drug Overdose,2017,20,14.90,10.73,20.67,2022-02-04
05/27/2017,Alabama,AL,15.52,11.21,21.48,Drug Overdose,2017,21,15.20,10.97,21.07,2022-02-04
06/03/2017,Alabama,AL,16.04,11.62,22.15,Drug Overdose,2017,22,15.37,11.10,21.29,2022-02-04
06/10/2017,Alabama,AL,18.43,13.48,25.20,Drug Overdose,2017,23,16.58,12.04,22.84,2022-02-04
06/17/2017,Alabama,AL,16.33,11.84,22.53,Drug Overdose,2017,24,16.58,12.04,22.84,2022-02-04
06/24/2017,Alabama,AL,13.37,,18.70,Drug Overdose,2017,25,16.04,11.63,22.14,2022-02-04
07/01/2017,Alabama,AL,17.46,12.72,23.97,Drug Overdose,2017,26,16.40,11.90,22.60,2022-02-04
07/08/2017,Alabama,AL,20.22,14.89,27.46,Drug Overdose,2017,27,16.85,12.26,23.16,2022-02-04
07/15/2017,Alabama,AL,13.61,,19.01,Drug Overdose,2017,28,16.17,11.73,22.28,2022-02-04
07/22/2017,Alabama,AL,14.02,10.06,19.54,Drug Overdose,2017,29,16.33,11.86,22.50,2022-02-04
07/29/2017,Alabama,AL,15.07,10.87,20.91,Drug Overdose,2017,30,15.73,11.39,21.73,2022-02-04
08/05/2017,Alabama,AL,16.11,11.67,22.24,Drug Overdose,2017,31,14.70,10.59,20.43,2022-02-04
08/12/2017,Alabama,AL,15.59,11.27,21.58,Drug Overdose,2017,32,15.20,10.97,21.07,2022-02-04
08/19/2017,Alabama,AL,15.90,11.50,21.97,Drug Overdose,2017,33,15.67,11.33,21.67,2022-02-04
08/26/2017,Alabama,AL,15.27,11.02,21.17,Drug Overdose,2017,34,15.72,11.37,21.74,2022-02-04
09/02/2017,Alabama,AL,13.82,,19.28,Drug Overdose,2017,35,15.15,10.93,21.00,2022-02-04
09/09/2017,Alabama,AL,13.56,,18.94,Drug Overdose,2017,36,14.64,10.54,20.34,2022-02-04
09/16/2017,Alabama,AL,15.07,10.86,20.90,Drug Overdose,2017,37,14.43,10.38,20.07,2022-02-04
09/23/2017,Alabama,AL,13.95,10.00,19.45,Drug Overdose,2017,38,14.10,10.12,19.64,2022-02-04
09/30/2017,Alabama,AL,14.05,10.08,19.58,Drug Overdose,2017,39,14.16,10.16,19.72,2022-02-04
10/07/2017,Alabama,AL,12.77,,17.90,Drug Overdose,2017,40,13.96,10.01,19.46,2022-02-04
10/14/2017,Alabama,AL,14.43,10.37,20.08,Drug Overdose,2017,41,13.80,,19.25,2022-02-04
10/21/2017,Alabama,AL,13.45,,18.80,Drug Overdose,2017,42,13.67,,19.09,2022-02-04
10/28/2017,Alabama,AL,11.62,,16.40,Drug Overdose,2017,43,13.07,,18.29,2022-02-04
11/04/2017,Alabama,AL,12.13,,17.07,Drug Overdose,2017,44,12.91,,18.08,2022-02-04
11/11/2017,Alabama,AL,15.11,10.90,20.96,Drug Overdose,2017,45,13.08,,18.30,2022-02-04
11/18/2017,Alabama,AL,14.31,10.28,19.92,Drug Overdose,2017,46,13.29,,18.59,2022-02-04
11/25/2017,Alabama,AL,14.70,10.58,20.43,Drug Overdose,2017,47,14.06,10.10,19.59,2022-02-04
12/02/2017,Alabama,AL,14.00,10.04,19.52,Drug Overdose,2017,48,14.53,10.45,20.21,2022-02-04
12/09/2017,Alabama,AL,17.35,12.64,23.83,Drug Overdose,2017,49,15.09,10.89,20.92,2022-02-04
12/16/2017,Alabama,AL,12.22,,17.18,Drug Overdose,2017,50,14.57,10.49,20.24,2022-02-04
12/23/2017,Alabama,AL,16.88,12.26,23.22,Drug Overdose,2017,51,15.11,10.91,20.94,2022-02-04
12/30/2017,Alabama,AL,18.32,13.39,25.06,Drug Overdose,2017,52,16.19,11.75,22.32,2022-02-04
01/06/2018,Alabama,AL,15.51,11.21,21.47,Drug Overdose,2018,1,15.73,11.39,21.73,2022-02-04
01/13/2018,Alabama,AL,14.98,10.80,20.78,Drug Overdose,2018,2,16.42,11.92,22.63,2022-02-04
01/20/2018,Alabama,AL,13.19,,18.45,Drug Overdose,2018,3,15.50,11.20,21.44,2022-02-04
01/27/2018,Alabama,AL,13.29,,18.59,Drug Overdose,2018,4,14.24,10.23,19.82,2022-02-04
02/03/2018,Alabama,AL,15.28,11.03,21.17,Drug Overdose,2018,5,14.18,10.19,19.75,2022-02-04
02/10/2018,Alabama,AL,19.78,14.54,26.90,Drug Overdose,2018,6,15.38,11.12,21.28,2022-02-04
02/17/2018,Alabama,AL,14.34,10.30,19.96,Drug Overdose,2018,7,15.67,11.34,21.66,2022-02-04
02/24/2018,Alabama,AL,16.70,12.13,23.00,Drug Overdose,2018,8,16.52,12.00,22.76,2022-02-04
03/03/2018,Alabama,AL,14.43,10.37,20.07,Drug Overdose,2018,9,16.31,11.84,22.48,2022-02-04
03/10/2018,Alabama,AL,16.50,11.97,22.74,Drug Overdose,2018,10,15.49,11.19,21.44,2022-02-04
03/17/2018,Alabama,AL,15.18,10.95,21.05,Drug Overdose,2018,11,15.70,11.36,21.71,2022-02-04
03/24/2018,Alabama,AL,13.83,,19.29,Drug Overdose,2018,12,14.98,10.80,20.79,2022-02-04
03/31/2018,Alabama,AL,15.53,11.22,21.49,Drug Overdose,2018,13,15.26,11.01,21.14,2022-02-04
04/07/2018,Alabama,AL,16.46,11.94,22.69,Drug Overdose,2018,14,15.25,11.01,21.13,2022-02-04
04/14/2018,Alabama,AL,13.30,,18.60,Drug Overdose,2018,15,14.78,10.65,20.52,2022-02-04
04/21/2018,Alabama,AL,16.03,11.60,22.14,Drug Overdose,2018,16,15.33,11.07,21.23,2022-02-04
04/28/2018,Alabama,AL,13.37,,18.69,Drug Overdose,2018,17,14.79,10.65,20.53,2022-02-04
05/05/2018,Alabama,AL,19.96,14.69,27.14,Drug Overdose,2018,18,15.66,11.34,21.64,2022-02-04
05/12/2018,Alabama,AL,15.69,11.34,21.70,Drug Overdose,2018,19,16.26,11.80,22.42,2022-02-04
05/19/2018,Alabama,AL,13.55,,18.93,Drug Overdose,2018,20,15.64,11.32,21.61,2022-02-04
05/26/2018,Alabama,AL,14.56,10.47,20.24,Drug Overdose,2018,21,15.94,11.55,22.00,2022-02-04
06/02/2018,Alabama,AL,15.06,10.86,20.89,Drug Overdose,2018,22,14.71,10.59,20.44,2022-02-04
06/09/2018,Alabama,AL,17.60,12.83,24.14,Drug Overdose,2018,23,15.19,10.97,21.05,2022-02-04
06/16/2018,Alabama,AL,12.26,,17.24,Drug Overdose,2018,24,14.87,10.72,20.63,2022-02-04
06/23/2018,Alabama,AL,12.94,,18.14,Drug Overdose,2018,25,14.47,10.41,20.10,2022-02-04
06/30/2018,Alabama,AL,13.83,,19.30,Drug Overdose,2018,26,14.16,10.18,19.70,2022-02-04
07/07/2018,Alabama,AL,15.71,11.36,21.73,Drug Overdose,2018,27,13.69,,19.10,2022-02-04
07/14/2018,Alabama,AL,16.30,11.82,22.49,Drug Overdose,2018,28,14.70,10.58,20.41,2022-02-04
07/21/2018,Alabama,AL,15.23,10.99,21.11,Drug Overdose,2018,29,15.27,11.02,21.15,2022-02-04
07/28/2018,Alabama,AL,13.78,,19.23,Drug Overdose,2018,30,15.26,11.01,21.14,2022-02-04
08/04/2018,Alabama,AL,13.99,10.04,19.51,Drug Overdose,2018,31,14.83,10.68,20.58,2022-02-04
08/11/2018,Alabama,AL,16.17,11.71,22.31,Drug Overdose,2018,32,14.79,10.65,20.54,2022-02-04
08/18/2018,Alabama,AL,13.66,,19.07,Drug Overdose,2018,33,14.40,10.35,20.03,2022-02-04
08/25/2018,Alabama,AL,12.87,,18.04,Drug Overdose,2018,34,14.17,10.18,19.73,2022-02-04
09/01/2018,Alabama,AL,13.16,,18.42,Drug Overdose,2018,35,13.96,10.02,19.46,2022-02-04
09/08/2018,Alabama,AL,17.11,12.45,23.52,Drug Overdose,2018,36,14.20,10.20,19.76,2022-02-04
09/15/2018,Alabama,AL,15.40,11.12,21.33,Drug Overdose,2018,37,14.63,10.54,20.33,2022-02-04
09/22/2018,Alabama,AL,13.45,,18.80,Drug Overdose,2018,38,14.78,10.65,20.52,2022-02-04
09/29/2018,Alabama,AL,12.89,,18.06,Drug Overdose,2018,39,14.71,10.60,20.43,2022-02-04
04/30/2016,Alaska,AK,,,,Drug Overdose,2016,17,,,,2022-02-04
10/06/2018,Alabama,AL,13.59,,18.99,Drug Overdose,2018,40,13.83,,19.30,2022-02-04
10/13/2018,Alabama,AL,13.05,,18.28,Drug Overdose,2018,41,13.25,,18.53,2022-02-04
10/20/2018,Alabama,AL,12.22,,17.19,Drug Overdose,2018,42,12.94,,18.13,2022-02-04
10/27/2018,Alabama,AL,11.12,,15.73,Drug Overdose,2018,43,12.50,,17.55,2022-02-04
11/03/2018,Alabama,AL,14.35,10.31,19.97,Drug Overdose,2018,44,12.68,,17.79,2022-02-04
11/10/2018,Alabama,AL,12.98,,18.18,Drug Overdose,2018,45,12.67,,17.77,2022-02-04
11/17/2018,Alabama,AL,12.09,,17.02,Drug Overdose,2018,46,12.64,,17.73,2022-02-04
11/24/2018,Alabama,AL,14.10,10.12,19.64,Drug Overdose,2018,47,13.38,,18.70,2022-02-04
12/01/2018,Alabama,AL,13.13,,18.38,Drug Overdose,2018,48,13.08,,18.31,2022-02-04
12/08/2018,Alabama,AL,18.83,13.80,25.71,Drug Overdose,2018,49,14.54,10.47,20.19,2022-02-04
12/15/2018,Alabama,AL,12.18,,17.14,Drug Overdose,2018,50,14.56,10.49,20.22,2022-02-04
12/22/2018,Alabama,AL,15.64,11.31,21.64,Drug Overdose,2018,51,14.95,10.79,20.72,2022-02-04
12/29/2018,Alabama,AL,16.15,11.70,22.29,Drug Overdose,2018,52,15.70,11.37,21.70,2022-02-04
01/05/2019,Alabama,AL,13.51,,18.88,Drug Overdose,2019,1,14.37,10.33,19.99,2022-02-04
01/12/2019,Alabama,AL,14.56,10.48,20.25,Drug Overdose,2019,2,14.96,10.79,20.76,2022-02-04
01/19/2019,Alabama,AL,12.12,,17.05,Drug Overdose,2019,3,14.08,10.11,19.62,2022-02-04
01/26/2019,Alabama,AL,10.86,,15.38,Drug Overdose,2019,4,12.76,,17.89,2022-02-04
02/02/2019,Alabama,AL,11.37,,16.07,Drug Overdose,2019,5,12.23,,17.19,2022-02-04
02/09/2019,Alabama,AL,17.59,12.82,24.14,Drug Overdose,2019,6,12.99,,18.16,2022-02-04
02/16/2019,Alabama,AL,13.68,,19.10,Drug Overdose,2019,7,13.38,,18.67,2022-02-04
02/23/2019,Alabama,AL,13.37,,18.69,Drug Overdose,2019,8,14.00,10.06,19.50,2022-02-04
03/02/2019,Alabama,AL,13.85,,19.31,Drug Overdose,2019,9,14.62,10.53,20.31,2022-02-04
03/09/2019,Alabama,AL,17.65,12.87,24.21,Drug Overdose,2019,10,14.64,10.54,20.33,2022-02-04
03/16/2019,Alabama,AL,16.79,12.20,23.11,Drug Overdose,2019,11,15.41,11.14,21.33,2022-02-04
03/23/2019,Alabama,AL,14.24,10.23,19.83,Drug Overdose,2019,12,15.63,11.31,21.62,2022-02-04
03/30/2019,Alabama,AL,13.67,,19.09,Drug Overdose,2019,13,15.59,11.27,21.56,2022-02-04
04/06/2019,Alabama,AL,13.51,,18.88,Drug Overdose,2019,14,14.55,10.47,20.23,2022-02-04
04/13/2019,Alabama,AL,18.71,13.70,25.56,Drug Overdose,2019,15,15.03,10.85,20.84,2022-02-04
04/20/2019,Alabama,AL,13.63,,19.03,Drug Overdose,2019,16,14.88,10.73,20.64,2022-02-04
04/27/2019,Alabama,AL,12.72,,17.84,Drug Overdose,2019,17,14.64,10.55,20.33,2022-02-04
05/04/2019,Alabama,AL,14.99,10.80,20.80,Drug Overdose,2019,18,15.01,10.83,20.81,2022-02-04
05/11/2019,Alabama,AL,16.00,11.58,22.10,Drug Overdose,2019,19,14.33,10.30,19.94,2022-02-04
05/18/2019,Alabama,AL,14.59,10.49,20.28,Drug Overdose,2019,20,14.57,10.49,20.25,2022-02-04
05/25/2019,Alabama,AL,13.07,,18.30,Drug Overdose,2019,21,14.66,10.55,20.37,2022-02-04
06/01/2019,Alabama,AL,16.82,12.22,23.15,Drug Overdose,2019,22,15.12,10.91,20.96,2022-02-04
06/08/2019,Alabama,AL,18.59,13.61,25.40,Drug Overdose,2019,23,15.77,11.41,21.78,2022-02-04
06/15/2019,Alabama,AL,17.43,12.70,23.93,Drug Overdose,2019,24,16.48,11.97,22.70,2022-02-04
06/22/2019,Alabama,AL,16.78,12.19,23.10,Drug Overdose,2019,25,17.41,12.68,23.90,2022-02-04
06/29/2019,Alabama,AL,13.64,,19.04,Drug Overdose,2019,26,16.61,12.07,22.87,2022-02-04
07/06/2019,Alabama,AL,16.50,11.98,22.74,Drug Overdose,2019,27,16.09,11.66,22.20,2022-02-04
07/13/2019,Alabama,AL,14.98,10.80,20.78,Drug Overdose,2019,28,15.47,11.18,21.42,2022-02-04
07/20/2019,Alabama,AL,14.94,10.77,20.73,Drug Overdose,2019,29,15.01,10.83,20.83,2022-02-04
07/27/2019,Alabama,AL,13.87,,19.34,Drug Overdose,2019,30,15.07,10.87,20.90,2022-02-04
08/03/2019,Alabama,AL,15.17,10.94,21.03,Drug Overdose,2019,31,14.74,10.61,20.47,2022-02-04
08/10/2019,Alabama,AL,16.79,12.20,23.11,Drug Overdose,2019,32,15.19,10.96,21.05,2022-02-04
08/17/2019,Alabama,AL,16.03,11.61,22.13,Drug Overdose,2019,33,15.46,11.17,21.40,2022-02-04
08/24/2019,Alabama,AL,14.46,10.40,20.11,Drug Overdose,2019,34,15.61,11.28,21.59,2022-02-04
08/31/2019,Alabama,AL,15.29,11.03,21.18,Drug Overdose,2019,35,15.64,11.31,21.63,2022-02-04
09/07/2019,Alabama,AL,16.38,11.88,22.58,Drug Overdose,2019,36,15.54,11.23,21.50,2022-02-04
09/14/2019,Alabama,AL,15.61,11.28,21.60,Drug Overdose,2019,37,15.43,11.15,21.37,2022-02-04
09/21/2019,Alabama,AL,13.14,,18.40,Drug Overdose,2019,38,15.10,10.90,20.94,2022-02-04
09/28/2019,Alabama,AL,12.15,,17.10,Drug Overdose,2019,39,14.32,10.30,19.92,2022-02-04
10/05/2019,Alabama,AL,16.53,12.00,22.78,Drug Overdose,2019,40,14.36,10.33,19.97,2022-02-04
10/12/2019,Alabama,AL,14.78,10.64,20.53,Drug Overdose,2019,41,14.15,10.17,19.70,2022-02-04
10/19/2019,Alabama,AL,18.09,13.21,24.76,Drug Overdose,2019,42,15.39,11.12,21.29,2022-02-04
10/26/2019,Alabama,AL,14.11,10.13,19.66,Drug Overdose,2019,43,15.88,11.49,21.93,2022-02-04
11/02/2019,Alabama,AL,14.56,10.48,20.24,Drug Overdose,2019,44,15.38,11.11,21.30,2022-02-04
11/09/2019,Alabama,AL,17.48,12.74,23.99,Drug Overdose,2019,45,16.06,11.64,22.16,2022-02-04
11/16/2019,Alabama,AL,15.50,11.19,21.45,Drug Overdose,2019,46,15.41,11.13,21.34,2022-02-04
11/23/2019,Alabama,AL,14.40,10.35,20.03,Drug Overdose,2019,47,15.48,11.19,21.43,2022-02-04
11/30/2019,Alabama,AL,13.16,,18.41,Drug Overdose,2019,48,15.13,10.92,20.97,2022-02-04
12/07/2019,Alabama,AL,15.12,10.91,20.97,Drug Overdose,2019,49,14.54,10.46,20.22,2022-02-04
12/14/2019,Alabama,AL,17.29,12.59,23.75,Drug Overdose,2019,50,14.99,10.81,20.79,2022-02-04
12/21/2019,Alabama,AL,14.82,10.68,20.58,Drug Overdose,2019,51,15.10,10.89,20.93,2022-02-04
12/28/2019,Alabama,AL,16.53,11.99,22.77,Drug Overdose,2019,52,15.94,11.54,22.02,2022-02-04
01/04/2020,Alabama,AL,16.69,12.12,22.99,Drug Overdose,2020,1,16.33,11.85,22.52,2022-02-04
01/11/2020,Alabama,AL,13.58,,18.96,Drug Overdose,2020,2,15.41,11.13,21.33,2022-02-04
01/18/2020,Alabama,AL,14.32,10.29,19.92,Drug Overdose,2020,3,15.28,11.03,21.16,2022-02-04
01/25/2020,Alabama,AL,17.12,12.46,23.54,Drug Overdose,2020,4,15.43,11.15,21.35,2022-02-04
02/01/2020,Alabama,AL,13.93,,19.43,Drug Overdose,2020,5,14.74,10.62,20.46,2022-02-04
02/08/2020,Alabama,AL,16.70,12.13,22.99,Drug Overdose,2020,6,15.52,11.22,21.47,2022-02-04
02/15/2020,Alabama,AL,16.15,11.70,22.28,Drug Overdose,2020,7,15.98,11.57,22.06,2022-02-04
02/22/2020,Alabama,AL,17.89,13.06,24.52,Drug Overdose,2020,8,16.17,11.72,22.31,2022-02-04
02/29/2020,Alabama,AL,18.94,13.88,25.84,Drug Overdose,2020,9,17.42,12.69,23.91,2022-02-04
03/07/2020,Alabama,AL,22.76,16.92,30.63,Drug Overdose,2020,10,18.94,13.89,25.82,2022-02-04
03/14/2020,Alabama,AL,18.38,13.44,25.13,Drug Overdose,2020,11,19.49,14.33,26.53,2022-02-04
03/21/2020,Alabama,AL,16.03,11.61,22.14,Drug Overdose,2020,12,19.03,13.96,25.94,2022-02-04
03/28/2020,Alabama,AL,20.68,15.26,28.03,Drug Overdose,2020,13,19.46,14.31,26.48,2022-02-04
04/04/2020,Alabama,AL,19.22,14.11,26.20,Drug Overdose,2020,14,18.58,13.60,25.37,2022-02-04
04/11/2020,Alabama,AL,16.34,11.85,22.54,Drug Overdose,2020,15,18.07,13.21,24.73,2022-02-04
04/18/2020,Alabama,AL,19.44,14.27,26.47,Drug Overdose,2020,16,18.92,13.87,25.81,2022-02-04
04/25/2020,Alabama,AL,25.95,19.49,34.56,Drug Overdose,2020,17,20.24,14.93,27.44,2022-02-04
05/02/2020,Alabama,AL,26.51,19.94,35.24,Drug Overdose,2020,18,22.06,16.39,29.70,2022-02-04
05/07/2016,Alaska,AK,,,,Drug Overdose,2016,18,,,,2022-02-04
05/09/2020,Alabama,AL,28.42,21.50,37.57,Drug Overdose,2020,19,25.08,18.80,33.46,2022-02-04
05/16/2020,Alabama,AL,26.94,20.29,35.77,Drug Overdose,2020,20,26.96,20.31,35.78,2022-02-04
05/23/2020,Alabama,AL,23.60,17.59,31.67,Drug Overdose,2020,21,26.37,19.83,35.06,2022-02-04
05/30/2020,Alabama,AL,23.34,17.38,31.34,Drug Overdose,2020,22,25.58,19.19,34.09,2022-02-04
06/06/2020,Alabama,AL,24.66,18.44,32.96,Drug Overdose,2020,23,24.63,18.43,32.93,2022-02-04
06/13/2020,Alabama,AL,20.33,14.98,27.59,Drug Overdose,2020,24,22.98,17.10,30.89,2022-02-04
06/20/2020,Alabama,AL,22.50,16.71,30.30,Drug Overdose,2020,25,22.71,16.88,30.55,2022-02-04
06/27/2020,Alabama,AL,23.05,17.15,30.99,Drug Overdose,2020,26,22.63,16.82,30.46,2022-02-04
07/04/2020,Alabama,AL,21.41,15.84,28.94,Drug Overdose,2020,27,21.82,16.17,29.45,2022-02-04
07/11/2020,Alabama,AL,19.18,14.07,26.14,Drug Overdose,2020,28,21.54,15.94,29.09,2022-02-04
07/18/2020,Alabama,AL,20.07,14.77,27.26,Drug Overdose,2020,29,20.93,15.46,28.33,2022-02-04
